"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"O00154",17.38349,17.83536,17.28363,17.0832,17.31299,17.80541,17.39439,17.6563,17.45744,18.06741,17.34142,17.82211
"O00303",16.99536,17.41504,17.41709,17.55045,17.24875,17.17281,17.01017,17.11857,17.20743,16.70388,17.41643,17.0152
"O00487",16.00384,16.05326,16.09932,16.27335,16.0833,16.14111,16.12795,15.9583,16.12204,16.19593,15.84487,16.18
"O00629",15.2408,15.0902,14.93565,15.2695,15.00775,15.11297,15.37938,15.34131,15.34655,15.42591,15.25747,15.52491
"O14950",19.94707,19.98803,20.19367,19.70064,19.81914,19.69194,19.60216,19.29973,19.38164,18.5715,19.93509,19.1201
"O15355",16.37343,16.321,16.37981,16.21667,16.02069,15.99665,16.02822,15.83567,16.26405,16.13631,16.09648,16.0209
"O43592",15.60936,15.64296,15.08892,16.34442,14.52312,15.58129,15.78104,15.88372,15.32059,15.84671,15.75986,15.8096
"O43847",14.39546,14.10605,13.28461,14.81463,13.89064,14.49365,14.65397,14.75654,14.67986,14.81519,14.43944,14.80433
"O60684",16.4471,16.60008,16.1329,16.82992,16.56085,16.83571,17.01,16.90284,16.85508,17.06328,16.96856,16.94717
"O75306",16.49575,16.9024,16.58861,17.58748,16.39469,16.76058,16.75828,16.65358,16.76869,16.69636,16.84846,16.26986
"O75396",17.73848,18.00601,16.94083,17.2631,17.63364,18.26957,18.22159,18.30147,18.03066,18.32097,18.13957,18.25057
